# x_m,y_m,w_tr_right_m,w_tr_left_m
6.8000,-3.8600,1.3238,1.3238
6.8500,-3.8600,1.3342,1.3342
6.9000,-3.8600,1.3463,1.3463
6.9500,-3.8600,1.3509,1.3509
7.0000,-3.8600,1.3537,1.3537
7.0500,-3.8600,1.3583,1.3583
7.1000,-3.8600,1.3647,1.3647
7.1500,-3.8600,1.3730,1.3730
7.2000,-3.8600,1.3829,1.3829
7.2500,-3.8600,1.3946,1.3946
7.3000,-3.8600,1.3946,1.3946
7.3500,-3.8600,1.3829,1.3829
7.4000,-3.8600,1.3730,1.3730
7.4500,-3.8600,1.3601,1.3601
7.5000,-3.8600,1.3463,1.3463
7.5500,-3.8600,1.3342,1.3342
7.6000,-3.8600,1.3238,1.3238
7.6500,-3.8600,1.3153,1.3153
7.7000,-3.8100,1.3583,1.3583
7.7500,-3.7600,1.4036,1.4036
7.8000,-3.7100,1.4509,1.4509
7.8500,-3.6600,1.5000,1.5000
7.9000,-3.6100,1.4807,1.4807
7.9500,-3.5600,1.4221,1.4221
8.0000,-3.5100,1.3647,1.3647
8.0000,-3.4600,1.3583,1.3583
8.0000,-3.4100,1.3537,1.3537
8.0000,-3.3600,1.3509,1.3509
8.0000,-3.3100,1.3500,1.3500
8.0000,-3.2600,1.3500,1.3500
8.0000,-3.2100,1.3500,1.3500
8.0000,-3.1600,1.3500,1.3500
8.0000,-3.1100,1.3500,1.3500
8.0000,-3.0600,1.3500,1.3500
8.0000,-3.0100,1.3500,1.3500
8.0000,-2.9600,1.3500,1.3500
8.0000,-2.9100,1.3500,1.3500
8.0000,-2.8600,1.3500,1.3500
8.0000,-2.8100,1.3500,1.3500
8.0000,-2.7600,1.3463,1.3463
8.0000,-2.7100,1.3342,1.3342
8.0000,-2.6600,1.3238,1.3238
8.0000,-2.6100,1.3153,1.3153
8.0000,-2.5600,1.3086,1.3086
8.0000,-2.5100,1.3038,1.3038
8.0000,-2.4600,1.3010,1.3010
8.0000,-2.4100,1.3000,1.3000
8.0000,-2.3600,1.2981,1.2981
8.0000,-2.3100,1.2855,1.2855
8.0000,-2.2600,1.2748,1.2748
8.0000,-2.2100,1.2659,1.2659
7.9500,-2.1600,1.2093,1.2093
7.9500,-2.1100,1.2042,1.2042
7.9500,-2.0600,1.2010,1.2010
7.9500,-2.0100,1.2000,1.2000
7.9500,-1.9600,1.2000,1.2000
7.9500,-1.9100,1.2000,1.2000
7.9500,-1.8600,1.2000,1.2000
7.9500,-1.8100,1.2000,1.2000
7.9500,-1.7600,1.2000,1.2000
7.9500,-1.7100,1.2000,1.2000
7.9500,-1.6600,1.2000,1.2000
7.9500,-1.6100,1.2000,1.2000
7.9500,-1.5600,1.2000,1.2000
7.9500,-1.5100,1.2000,1.2000
7.9500,-1.4600,1.2000,1.2000
7.9500,-1.4100,1.2000,1.2000
7.9500,-1.3600,1.2000,1.2000
7.9500,-1.3100,1.2000,1.2000
7.9500,-1.2600,1.2000,1.2000
7.9500,-1.2100,1.2010,1.2010
7.9500,-1.1600,1.2042,1.2042
7.9500,-1.1100,1.2093,1.2093
7.9500,-1.0600,1.2166,1.2166
7.9500,-1.0100,1.2258,1.2258
7.9500,-0.9600,1.2369,1.2369
7.9500,-0.9100,1.2500,1.2500
7.9500,-0.8600,1.2500,1.2500
7.9500,-0.8100,1.2500,1.2500
7.9500,-0.7600,1.2500,1.2500
7.9500,-0.7100,1.2500,1.2500
7.9500,-0.6600,1.2500,1.2500
7.9500,-0.6100,1.2500,1.2500
7.9500,-0.5600,1.2500,1.2500
7.9500,-0.5100,1.2500,1.2500
7.9500,-0.4600,1.2500,1.2500
7.9500,-0.4100,1.2500,1.2500
7.9500,-0.3600,1.2500,1.2500
7.9000,-0.3100,1.2855,1.2855
7.9000,-0.2600,1.2748,1.2748
7.8500,-0.2100,1.3153,1.3153
7.8500,-0.1600,1.3086,1.3086
7.8500,-0.1100,1.3038,1.3038
7.8000,-0.0600,1.3509,1.3509
7.8000,-0.0100,1.3500,1.3500
7.7500,0.0400,1.4009,1.4009
7.7500,0.0900,1.4009,1.4009
7.7000,0.1400,1.4422,1.4422
7.7000,0.1900,1.4500,1.4500
7.6500,0.2400,1.4500,1.4500
7.6500,0.2900,1.4000,1.4000
7.6000,0.3400,1.3500,1.3500
7.5500,0.3900,1.3000,1.3000
7.5000,0.4400,1.2500,1.2500
7.4500,0.4400,1.2500,1.2500
7.4000,0.4900,1.1885,1.1885
7.3500,0.4900,1.1769,1.1769
7.3000,0.5400,1.1180,1.1180
7.2500,0.5400,1.1102,1.1102
7.2000,0.5400,1.1045,1.1045
7.1500,0.5400,1.1011,1.1011
7.1000,0.5900,1.0500,1.0500
7.0500,0.5900,1.0500,1.0500
7.0000,0.5900,1.0500,1.0500
6.9500,0.5900,1.0500,1.0500
6.9000,0.5900,1.0500,1.0500
6.8500,0.5900,1.0500,1.0500
6.8000,0.5900,1.0500,1.0500
6.7500,0.5900,1.0500,1.0500
6.7000,0.5900,1.0512,1.0512
6.6500,0.5900,1.0548,1.0548
6.6000,0.5900,1.0607,1.0607
6.5500,0.5900,1.0689,1.0689
6.5000,0.5900,1.0794,1.0794
6.4500,0.5900,1.0794,1.0794
6.4000,0.5900,1.0689,1.0689
6.3500,0.5900,1.0607,1.0607
6.3000,0.5900,1.0548,1.0548
6.2500,0.5900,1.0512,1.0512
6.2000,0.5900,1.0500,1.0500
6.1500,0.5900,1.0500,1.0500
6.1000,0.5900,1.0500,1.0500
6.0500,0.5900,1.0500,1.0500
6.0000,0.5900,1.0500,1.0500
5.9500,0.5900,1.0500,1.0500
5.9000,0.5900,1.0500,1.0500
5.8500,0.5900,1.0500,1.0500
5.8000,0.5900,1.0500,1.0500
5.7500,0.5900,1.0500,1.0500
5.7000,0.5900,1.0500,1.0500
5.6500,0.5900,1.0500,1.0500
5.6000,0.5900,1.0500,1.0500
5.5500,0.5900,1.0500,1.0500
5.5000,0.5900,1.0500,1.0500
5.4500,0.5900,1.0500,1.0500
5.4000,0.5900,1.0500,1.0500
5.3500,0.5900,1.0500,1.0500
5.3000,0.5900,1.0500,1.0500
5.2500,0.5900,1.0500,1.0500
5.2000,0.5900,1.0512,1.0512
5.1500,0.5900,1.0548,1.0548
5.1000,0.5900,1.0607,1.0607
5.0500,0.5900,1.0689,1.0689
5.0000,0.5900,1.0794,1.0794
4.9500,0.5400,1.1402,1.1402
4.9000,0.5400,1.1500,1.1500
4.8500,0.5400,1.1402,1.1402
4.8000,0.4900,1.1769,1.1769
4.7500,0.4900,1.1673,1.1673
4.7000,0.4900,1.1597,1.1597
4.6500,0.4400,1.2042,1.2042
4.6000,0.4400,1.2010,1.2010
4.5500,0.4400,1.2000,1.2000
4.5000,0.3900,1.2500,1.2500
4.4500,0.3900,1.2500,1.2500
4.4000,0.3400,1.3000,1.3000
4.3500,0.2900,1.3500,1.3500
4.3000,0.2400,1.4000,1.4000
4.2500,0.2400,1.4000,1.4000
4.2000,0.1900,1.4500,1.4500
4.1500,0.1900,1.4500,1.4500
4.1000,0.1400,1.5000,1.5000
4.0500,0.1400,1.5000,1.5000
4.0000,0.0900,1.5500,1.5500
3.9500,0.0900,1.5500,1.5500
3.9000,0.0900,1.5500,1.5500
3.8500,0.0900,1.5500,1.5500
3.8000,0.0400,1.5000,1.5000
3.7500,0.0400,1.5000,1.5000
3.7000,0.0400,1.5000,1.5000
3.6500,0.0400,1.5000,1.5000
3.6000,0.0400,1.5000,1.5000
3.5500,0.0400,1.5008,1.5008
3.5000,0.0400,1.5033,1.5033
3.4500,0.0400,1.5075,1.5075
3.4000,0.0400,1.5133,1.5133
3.3500,0.0400,1.5207,1.5207
3.3000,0.0400,1.5297,1.5297
3.2500,0.0400,1.5403,1.5403
3.2000,0.0400,1.5500,1.5500
3.1500,0.0400,1.5500,1.5500
3.1000,0.0400,1.5500,1.5500
3.0500,0.0400,1.5500,1.5500
3.0000,0.0400,1.5500,1.5500
2.9500,0.0400,1.5500,1.5500
2.9000,0.0400,1.5500,1.5500
2.8500,0.0400,1.5500,1.5500
2.8000,0.0400,1.5500,1.5500
2.7500,0.0400,1.5500,1.5500
2.7000,0.0400,1.5500,1.5500
2.6500,0.0400,1.5500,1.5500
2.6000,0.0400,1.5500,1.5500
2.5500,0.0400,1.5500,1.5500
2.5000,0.0400,1.5500,1.5500
2.4500,0.0400,1.5500,1.5500
2.4000,0.0400,1.5500,1.5500
2.3500,0.0400,1.5338,1.5338
2.3000,0.0400,1.5182,1.5182
2.2500,0.0400,1.5042,1.5042
2.2000,0.0400,1.4916,1.4916
2.1500,0.0400,1.4807,1.4807
2.1000,0.0400,1.4714,1.4714
2.0500,0.0400,1.4637,1.4637
2.0000,0.0400,1.4577,1.4577
1.9500,0.0400,1.4534,1.4534
1.9000,0.0400,1.4509,1.4509
1.8500,0.0400,1.4500,1.4500
