# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.0500,0.1600,1.3238,1.3238
-2.0000,0.1600,1.3342,1.3342
-1.9500,0.1600,1.3463,1.3463
-1.9000,0.1600,1.3500,1.3500
-1.8500,0.1600,1.3500,1.3500
-1.8000,0.1600,1.3500,1.3500
-1.7500,0.1100,1.3647,1.3647
-1.7000,0.1100,1.3730,1.3730
-1.6500,0.1100,1.3829,1.3829
-1.6000,0.1100,1.3946,1.3946
-1.5500,0.1100,1.4080,1.4080
-1.5000,0.1100,1.4230,1.4230
-1.4500,0.1100,1.4396,1.4396
-1.4000,0.1100,1.4560,1.4560
-1.3500,0.1100,1.4637,1.4637
-1.3000,0.1100,1.4714,1.4714
-1.2500,0.1100,1.4807,1.4807
-1.2000,0.1100,1.4916,1.4916
-1.1500,0.1100,1.5033,1.5033
-1.1000,0.1100,1.5075,1.5075
-1.0500,0.1100,1.5133,1.5133
-1.0000,0.1100,1.5207,1.5207
-0.9500,0.1100,1.5297,1.5297
-0.9000,0.1600,1.5890,1.5890
-0.8500,0.1600,1.6008,1.6008
-0.8000,0.2100,1.6225,1.6225
-0.7500,0.2100,1.6325,1.6325
-0.7000,0.2100,1.6101,1.6101
-0.6500,0.2600,1.6325,1.6325
-0.6000,0.3100,1.6553,1.6553
-0.5500,0.3600,1.6621,1.6621
-0.5000,0.4100,1.6286,1.6286
-0.4500,0.4600,1.5977,1.5977
-0.4000,0.5100,1.5660,1.5660
-0.4000,0.5600,1.5811,1.5811
-0.3500,0.6100,1.5508,1.5508
-0.3000,0.6600,1.5182,1.5182
-0.3000,0.7100,1.5338,1.5338
-0.3000,0.7600,1.5508,1.5508
-0.3000,0.8100,1.5692,1.5692
-0.2500,0.8600,1.5435,1.5435
-0.2500,0.9100,1.5628,1.5628
-0.2500,0.9600,1.5435,1.5435
-0.2500,1.0100,1.5207,1.5207
-0.2500,1.0600,1.4983,1.4983
-0.2500,1.1100,1.4773,1.4773
-0.2500,1.1600,1.4577,1.4577
-0.2000,1.2100,1.4866,1.4866
-0.2000,1.2600,1.4705,1.4705
-0.2000,1.3100,1.4560,1.4560
-0.2000,1.3600,1.4431,1.4431
-0.2000,1.4100,1.4318,1.4318
-0.2000,1.4600,1.4221,1.4221
-0.1500,1.5100,1.4637,1.4637
-0.1500,1.5600,1.4577,1.4577
-0.1500,1.6100,1.4534,1.4534
-0.1500,1.6600,1.4509,1.4509
-0.1000,1.7100,1.5000,1.5000
-0.1000,1.7600,1.5000,1.5000
-0.1000,1.8100,1.5000,1.5000
-0.1000,1.8600,1.5000,1.5000
-0.1000,1.9100,1.5000,1.5000
-0.1000,1.9600,1.5000,1.5000
-0.1000,2.0100,1.5000,1.5000
-0.1000,2.0600,1.5000,1.5000
-0.1000,2.1100,1.5008,1.5008
-0.1000,2.1600,1.5008,1.5008
-0.1000,2.2100,1.5000,1.5000
-0.0500,2.2600,1.5000,1.5000
-0.0500,2.3100,1.5000,1.5000
-0.0500,2.3600,1.5000,1.5000
-0.0500,2.4100,1.5008,1.5008
-0.0500,2.4600,1.5033,1.5033
0.0000,2.5100,1.4577,1.4577
0.0000,2.5600,1.4637,1.4637
0.0000,2.6100,1.4714,1.4714
0.0000,2.6600,1.4807,1.4807
0.0000,2.7100,1.4916,1.4916
0.0000,2.7600,1.5000,1.5000
0.0500,2.8100,1.4500,1.4500
0.0500,2.8600,1.4500,1.4500
0.0500,2.9100,1.4500,1.4500
0.0500,2.9600,1.4509,1.4509
0.0500,3.0100,1.4534,1.4534
0.0500,3.0600,1.4577,1.4577
0.0500,3.1100,1.4637,1.4637
0.0500,3.1600,1.4714,1.4714
0.0500,3.2100,1.4714,1.4714
0.1000,3.2600,1.4431,1.4431
0.1000,3.3100,1.4500,1.4500
0.1000,3.3600,1.4500,1.4500
0.1500,3.4100,1.4000,1.4000
0.1500,3.4600,1.4000,1.4000
0.1500,3.5100,1.4009,1.4009
0.1500,3.5600,1.4036,1.4036
0.1500,3.6100,1.4080,1.4080
0.1500,3.6600,1.4142,1.4142
0.1500,3.7100,1.4221,1.4221
0.1500,3.7600,1.4318,1.4318
0.2000,3.8100,1.3946,1.3946
0.2000,3.8600,1.4000,1.4000
0.2000,3.9100,1.4000,1.4000
0.2000,3.9600,1.4000,1.4000
0.2000,4.0100,1.4000,1.4000
0.2000,4.0600,1.4009,1.4009
0.2000,4.1100,1.4036,1.4036
0.2000,4.1600,1.3946,1.3946
0.2000,4.2100,1.3829,1.3829
0.2000,4.2600,1.3730,1.3730
0.2000,4.3100,1.3647,1.3647
0.2000,4.3600,1.3583,1.3583
0.2000,4.4100,1.3537,1.3537
0.2000,4.4600,1.3509,1.3509
0.2000,4.5100,1.3500,1.3500
0.2000,4.5600,1.3500,1.3500
0.2000,4.6100,1.3500,1.3500
0.2000,4.6600,1.3500,1.3500
0.2000,4.7100,1.3500,1.3500
0.2000,4.7600,1.3500,1.3500
0.2000,4.8100,1.3500,1.3500
0.2000,4.8600,1.3500,1.3500
0.2000,4.9100,1.3500,1.3500
0.2500,4.9600,1.4000,1.4000
0.2500,5.0100,1.4000,1.4000
0.2500,5.0600,1.4000,1.4000
0.2500,5.1100,1.4009,1.4009
0.2500,5.1600,1.4036,1.4036
0.2500,5.2100,1.4080,1.4080
0.2500,5.2600,1.4142,1.4142
0.2500,5.3100,1.4221,1.4221
0.2500,5.3600,1.4318,1.4318
0.2000,5.4100,1.3946,1.3946
0.2000,5.4600,1.4080,1.4080
0.2000,5.5100,1.4230,1.4230
0.2000,5.5600,1.4396,1.4396
0.1500,5.6100,1.4116,1.4116
0.1500,5.6600,1.4318,1.4318
0.1500,5.7100,1.4534,1.4534
0.1500,5.7600,1.4765,1.4765
0.1500,5.8100,1.5008,1.5008
0.1000,5.8600,1.4841,1.4841
0.0500,5.9100,1.4705,1.4705
0.0500,5.9600,1.5000,1.5000
0.0500,6.0100,1.5305,1.5305
0.0000,6.0600,1.5240,1.5240
-0.0500,6.1100,1.5033,1.5033
-0.1000,6.1600,1.4577,1.4577
-0.1500,6.2100,1.4142,1.4142
-0.2000,6.2600,1.3730,1.3730
-0.2500,6.3100,1.3342,1.3342
-0.3000,6.3100,1.3463,1.3463
-0.3500,6.3600,1.3010,1.3010
-0.4000,6.3600,1.3038,1.3038
-0.4500,6.3600,1.3086,1.3086
-0.5000,6.3600,1.3153,1.3153
-0.5500,6.4100,1.2748,1.2748
-0.6000,6.4100,1.2855,1.2855
-0.6500,6.4100,1.2981,1.2981
-0.7000,6.4100,1.3124,1.3124
-0.7500,6.4100,1.3200,1.3200
-0.8000,6.4100,1.3000,1.3000
-0.8500,6.4100,1.2816,1.2816
-0.9000,6.4100,1.2649,1.2649
-0.9500,6.4100,1.2500,1.2500
-1.0000,6.4100,1.2369,1.2369
-1.0500,6.4100,1.2258,1.2258
-1.1000,6.4600,1.2659,1.2659
-1.1500,6.4600,1.2590,1.2590
-1.2000,6.4600,1.2540,1.2540
-1.2500,6.4600,1.2510,1.2510
-1.3000,6.4600,1.2500,1.2500
-1.3500,6.4600,1.2500,1.2500
-1.4000,6.4600,1.2500,1.2500
-1.4500,6.4600,1.2500,1.2500
-1.5000,6.5100,1.3000,1.3000
-1.5500,6.5100,1.3000,1.3000
-1.6000,6.5100,1.3000,1.3000
-1.6500,6.5100,1.3010,1.3010
-1.7000,6.5100,1.3038,1.3038
-1.7500,6.5100,1.3086,1.3086
-1.8000,6.5100,1.3153,1.3153
-1.8500,6.5100,1.3238,1.3238
-1.9000,6.5100,1.3342,1.3342
-1.9500,6.5100,1.3463,1.3463
-2.0000,6.5100,1.3601,1.3601
-2.0500,6.5100,1.3757,1.3757
-2.1000,6.5100,1.3928,1.3928
-2.1500,6.5600,1.4221,1.4221
-2.2000,6.5600,1.4318,1.4318
-2.2500,6.5600,1.4431,1.4431
-2.3000,6.5600,1.4509,1.4509
-2.3500,6.5600,1.4534,1.4534
-2.4000,6.5600,1.4577,1.4577
-2.4500,6.5600,1.4637,1.4637
-2.5000,6.5600,1.4714,1.4714
-2.5500,6.5600,1.4807,1.4807
-2.6000,6.5600,1.4916,1.4916
-2.6500,6.5600,1.5008,1.5008
-2.7000,6.5600,1.5033,1.5033
-2.7500,6.5600,1.5075,1.5075
-2.8000,6.5100,1.5628,1.5628
-2.8500,6.5100,1.5700,1.5700
-2.9000,6.5100,1.5788,1.5788
-2.9500,6.5100,1.5890,1.5890
-3.0000,6.5100,1.6008,1.6008
-3.0500,6.4600,1.6530,1.6530
-3.1000,6.4600,1.6568,1.6568
-3.1500,6.4600,1.6621,1.6621
-3.2000,6.4100,1.7183,1.7183
-3.2500,6.4100,1.7263,1.7263
-3.3000,6.3600,1.7847,1.7847
-3.3500,6.3100,1.8439,1.8439
-3.4000,6.3100,1.8554,1.8554
-3.4500,6.2600,1.9105,1.9105
-3.5000,6.2100,1.9660,1.9660
-3.5500,6.2100,1.9729,1.9729
-3.6000,6.2100,1.9812,1.9812
-3.6500,6.1600,2.0396,2.0396
-3.7000,6.1100,2.0988,2.0988
-3.7500,6.0600,2.1552,2.1552
-3.8000,6.0100,2.2091,2.2091
-3.8500,6.0100,2.2142,2.2142
-3.9000,5.9600,2.2699,2.2699
-3.9500,5.9100,2.3265,2.3265
-4.0000,5.9100,2.3345,2.3345
-4.0500,5.8600,2.3927,2.3927
-4.1000,5.8100,2.4515,2.4515
-4.1500,5.7600,2.5080,2.5080
-4.1500,5.7100,2.5224,2.5224
-4.2000,5.6600,2.5598,2.5598
-4.2500,5.6100,2.5986,2.5986
-4.2500,5.5600,2.5894,2.5894
-4.3000,5.5100,2.6306,2.6306
-4.3500,5.4600,2.6173,2.6173
-4.4000,5.4100,2.5622,2.5622
-4.4000,5.3600,2.5125,2.5125
-4.4500,5.3100,2.4581,2.4581
-4.4500,5.2600,2.4083,2.4083
-4.5000,5.2100,2.3548,2.3548
-4.5500,5.1600,2.3022,2.3022
-4.6000,5.1100,2.2506,2.2506
-4.6500,5.0600,2.2000,2.2000
-4.7000,5.0600,2.2000,2.2000
-4.7500,5.0100,2.1500,2.1500
-4.8000,5.0100,2.1477,2.1477
-4.8500,4.9600,2.0887,2.0887
-4.9000,4.9600,2.0797,2.0797
-4.9500,4.9100,2.0224,2.0224
-5.0000,4.9100,2.0156,2.0156
-5.0500,4.9100,2.0100,2.0100
-5.1000,4.8600,1.9558,1.9558
-5.1500,4.8100,1.9026,1.9026
-5.2000,4.8100,1.9007,1.9007
-5.2500,4.7600,1.8439,1.8439
-5.3000,4.7600,1.8337,1.8337
-5.3500,4.7100,1.7755,1.7755
-5.4000,4.7100,1.7678,1.7678
-5.4500,4.6600,1.7117,1.7117
-5.5000,4.6600,1.7066,1.7066
-5.5500,4.6100,1.6530,1.6530
-5.6000,4.6100,1.6508,1.6508
-5.6500,4.6100,1.6492,1.6492
-5.7000,4.6100,1.6378,1.6378
-5.7500,4.6100,1.6279,1.6279
-5.8000,4.5600,1.5700,1.5700
-5.8500,4.5600,1.5628,1.5628
